Candidate_ID,Recruitment_Code,Department,Criterion,Criterion_Column,Bridge_Type,Beneficial,Crisp_Value,Mu,Nu,Pi,ESCO_Modifier,ESCO_Matched_Entity,ESCO_Match_Similarity,Cubic_Law_Check
18,SPSD0018,Accounting and Finance,Experience,PILLAR_Experience_NORM,contextual,True,0.37931,0.2770984989430287,0.45343457148229277,0.9602747759780218,0.47601988565786313,accounting manager,0.6287761372105642,1.0000000000000002
18,SPSD0018,Accounting and Finance,Education,PILLAR_Education_NORM,skill,True,0.576923,0.44589517039231197,0.32698989467237083,0.9569694160021198,0.37371603718092206,health education,0.7828549535238474,1.0
18,SPSD0018,Accounting and Finance,Technical Skills and Certifications,PILLAR_Technical_Skills_Certifications_NORM,skill,True,0.230769,0.14728169392483953,0.49093961797077695,0.9577312146720813,0.8513442136006759,apply technical communication skills,0.5574591989974654,1.0
18,SPSD0018,Accounting and Finance,Psychological Composite,PILLAR_Psychological_Composite_NORM,skill,True,0.692308,0.5203955905746716,0.23128659506332705,0.9460402217278451,0.46115539785215776,composite materials,0.6735557526848028,0.9999999999999996
18,SPSD0018,Accounting and Finance,Adaptability and Time Management,PILLAR_Adaptability_TimeManagement_NORM,skill,True,0.461538,0.3038848588850923,0.35453299378379366,0.975180734502633,0.6333863502453769,manage time,0.45826706219327873,1.0
18,SPSD0018,Accounting and Finance,Cultural Fit and Creativity,PILLAR_Cultural_Fit_Creativity_NORM,skill,True,0.461538,0.27654645379476755,0.32263812861181124,0.9814116694824699,0.8063254246544875,stimulate creativity in the team,0.40773594809581576,1.0000000000000002
18,SPSD0018,Accounting and Finance,Location Logistics,PILLAR_Location_Logistics_NORM,contextual,True,0.230769,0.1779758821752201,0.5932537118136609,0.9227011495140369,0.47601988565786313,accounting manager,0.6287761372105642,0.9999999999999999
18,SPSD0018,Accounting and Finance,Salary Demand,Salary_NORM,contextual,False,0.127137,0.7260364698368792,0.1057509582439069,0.8509113698701607,0.47601988565786313,accounting manager,0.6287761372105642,1.0
18,SPSD0018,Accounting and Finance,Smart AI Performance Criteria,Smart_AI_Performance_Criteria,contextual,True,0.475221,0.34307861664808664,0.37885626553954105,0.9673597435277547,0.47601988565786313,accounting manager,0.6287761372105642,1.0000000000000002
31,SPSD0031,Accounting and Finance,Experience,PILLAR_Experience_NORM,contextual,True,0.241379,0.18511085526870857,0.5817779597015604,0.9270570876091009,0.47601988565786313,accounting manager,0.6287761372105642,1.0
31,SPSD0031,Accounting and Finance,Education,PILLAR_Education_NORM,skill,True,0.692308,0.5478841078178559,0.24350369619113413,0.9364083076219342,0.37371603718092206,health education,0.7828549535238474,1.0000000000000002
31,SPSD0031,Accounting and Finance,Technical Skills and Certifications,PILLAR_Technical_Skills_Certifications_NORM,skill,True,0.230769,0.14728169392483953,0.49093961797077695,0.9577312146720813,0.8513442136006759,apply technical communication skills,0.5574591989974654,1.0
31,SPSD0031,Accounting and Finance,Psychological Composite,PILLAR_Psychological_Composite_NORM,skill,True,0.692308,0.5203955905746716,0.23128659506332705,0.9460402217278451,0.46115539785215776,composite materials,0.6735557526848028,0.9999999999999996
31,SPSD0031,Accounting and Finance,Adaptability and Time Management,PILLAR_Adaptability_TimeManagement_NORM,skill,True,1.0,1.0,0.0,0.0,0.6333863502453769,manage time,0.45826706219327873,1.0
31,SPSD0031,Accounting and Finance,Cultural Fit and Creativity,PILLAR_Cultural_Fit_Creativity_NORM,skill,True,0.692308,0.4315947832330363,0.19181962658605617,0.9699554058596317,0.8063254246544875,stimulate creativity in the team,0.40773594809581576,1.0000000000000004
31,SPSD0031,Accounting and Finance,Location Logistics,PILLAR_Location_Logistics_NORM,contextual,True,0.461538,0.3334411056588446,0.3890153457251034,0.9669376591597019,0.47601988565786313,accounting manager,0.6287761372105642,1.0000000000000004
31,SPSD0031,Accounting and Finance,Salary Demand,Salary_NORM,contextual,False,0.245014,0.5779141017423726,0.18754923366036683,0.9284680277841706,0.47601988565786313,accounting manager,0.6287761372105642,0.9999999999999998
31,SPSD0031,Accounting and Finance,Smart AI Performance Criteria,Smart_AI_Performance_Criteria,contextual,True,0.543991,0.39315961544984673,0.3295722228523434,0.9667144049861608,0.47601988565786313,accounting manager,0.6287761372105642,1.0000000000000004
62,SPSD0062,Accounting and Finance,Experience,PILLAR_Experience_NORM,contextual,True,0.275862,0.20814880802798028,0.5463908097083526,0.9389715074966577,0.47601988565786313,accounting manager,0.6287761372105642,1.0
62,SPSD0062,Accounting and Finance,Education,PILLAR_Education_NORM,skill,True,0.346154,0.27112262795917513,0.512120171370531,0.9456898752868587,0.37371603718092206,health education,0.7828549535238474,1.0
62,SPSD0062,Accounting and Finance,Technical Skills and Certifications,PILLAR_Technical_Skills_Certifications_NORM,skill,True,0.0,0.0,1.0,0.0,0.8513442136006759,apply technical communication skills,0.5574591989974654,1.0
62,SPSD0062,Accounting and Finance,Psychological Composite,PILLAR_Psychological_Composite_NORM,skill,True,0.692308,0.5203955905746716,0.23128659506332705,0.9460402217278451,0.46115539785215776,composite materials,0.6735557526848028,0.9999999999999996
62,SPSD0062,Accounting and Finance,Adaptability and Time Management,PILLAR_Adaptability_TimeManagement_NORM,skill,True,0.692308,0.4724856169325751,0.20999330420162396,0.9601898281791981,0.6333863502453769,manage time,0.45826706219327873,1.0
